name,cylinders,binaryClass
mazda_glc_4,4,N
plymouth_horizon_4,4,P
ford_escort_4w,4,P
ford_escort_2h,4,P
volkswagen_jetta,4,N
renault_18i,4,N
honda_prelude,4,N
toyota_corolla,4,N
datsun_200sx,4,N
mazda_626,4,N
peugeot_505s_turbo_diesel,4,N
saab_900s,4,N
volvo_diesel,6,N
toyota_cressida,6,N
datsun_810_maxima,6,N
buick_century,6,P
oldsmobile_cutlass_ls,8,P
ford_granada_gl,6,P
chrysler_lebaron_salon,6,P
chevrolet_cavalier,4,P
chevrolet_cavalier_wagon,4,P
chevrolet_cavalier_2-door,4,P
pontiac_j2000_se_hatchback,4,P
dodge_aries_se,4,P
pontiac_phoenix,4,P
ford_fairmont_futura,4,P
amc_concord_dl,4,P
volkswagen_rabbit_l,4,N
mazda_glc_custom_l,4,N
mazda_glc_custom,4,N
plymouth_horizon_miser,4,P
mercury_lynx_l,4,P
nissan_stanza_xe,4,N
honda_accord,4,N
toyota_corolla,4,N
honda_civic,4,N
honda_civic_(auto),4,N
datsun_310_gx,4,N
buick_century_limited,6,P
oldsmobile_cutlass_ciera_(diesel),6,P
chrysler_lebaron_medallion,4,P
ford_granada_l,6,P
toyota_celica_gt,4,N
dodge_charger_2.2,4,P
chevrolet_camaro,4,P
ford_mustang_gl,4,P
vw_pickup,4,N
dodge_rampage,4,P
ford_ranger,4,P
chevy_s-10,4,P
