make,carID,carID_and_Year,D_P,Protection,Doors,Year,Size
Ford,Ford_Taurus,Ford_Taurus_91,Driver,d_airbag,4,91,med
Ford,Ford_Tempo,Ford_Tempo_88,Driver,passive_belts,4,88,comp
Ford,Ford_T-Bird,Ford_T-Bird_89,Driver,Motorized_belts,2,89,hev
Geo,Geo_Metro,Geo_Metro_89,Driver,manual_belts,2,89,mini
Geo,Geo_Metro,Geo_Metro_89,Driver,manual_belts,4,89,mini
Geo,Geo_Prizm,Geo_Prizm_90,Driver,manual_belts,4,90,lt
Geo,Geo_Storm,Geo_Storm_91,Driver,d_airbag,2,91,lt
Honda,Honda_Accord,Honda_Accord_87,Driver,passive_belts,2,87,lt
Honda,Honda_Accord_Dx,Honda_Accord_Dx_91,Driver,Motorized_belts,4,91,comp
Honda,Honda_Accord_Lx,Honda_Accord_Lx_91,Driver,d_airbag,4,91,med
Honda,Honda_Civic,Honda_Civic_91,Driver,Motorized_belts,4,91,lt
Honda,Honda_Civic_Crx,Honda_Civic_Crx_89,Driver,manual_belts,2,89,mini
Honda,Honda_Civic_Dx,Honda_Civic_Dx_88,Driver,manual_belts,2,88,lt
Honda,Honda_Prelude,Honda_Prelude_90,Driver,passive_belts,2,90,comp
Hyundai,Hyundai_Excel,Hyundai_Excel_87,Driver,passive_belts,4,87,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_87,Driver,manual_belts,2,87,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_90,Driver,Motorized_belts,2,90,lt
Hyundai,Hyundai_Scoupe,Hyundai_Scoupe_91,Driver,passive_belts,2,91,lt
Hyundai,Hyundai_Sonata,Hyundai_Sonata_89,Driver,manual_belts,4,89,comp
Infiniti,Infiniti_M-30,Infiniti_M-30_90,Driver,d_airbag,2,90,med
Isuzu,Isuzu_Amigo,Isuzu_Amigo_90,Driver,manual_belts,2,90,mpv
Isuzu,Isuzu_I-Mark,Isuzu_I-Mark_87,Driver,manual_belts,4,87,lt
Isuzu,Isuzu_Rodeo,Isuzu_Rodeo_91,Driver,manual_belts,4,91,mpv
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_87,Driver,manual_belts,?,87,pu
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_88,Driver,manual_belts,?,88,pu
Isuzu,Isuzu_Stylus,Isuzu_Stylus_91,Driver,d_airbag,4,91,lt
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_89,Driver,manual_belts,4,89,mpv
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_90,Driver,manual_belts,4,90,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_89,Driver,manual_belts,4,89,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_90,Driver,manual_belts,4,90,mpv
Jeep,Jeep_Comanche,Jeep_Comanche_87,Driver,manual_belts,?,87,pu
Jeep,Jeep_Wrangler_YJ_4x4,Jeep_Wrangler_YJ_4x4_87,Driver,manual_belts,2,87,mpv
Lexus,Lexus_ES250,Lexus_ES250_90,Driver,d_airbag,4,90,med
Lincoln,Lincoln_Continental,Lincoln_Continental_89,Driver,d&p_airbags,4,89,hev
Lincoln,Lincoln_Town_Car,Lincoln_Town_Car_90,Driver,d&p_airbags,4,90,hev
Mazda,Mazda_626,Mazda_626_87,Driver,passive_belts,4,87,comp
Mazda,Mazda_929,Mazda_929_88,Driver,manual_belts,4,88,med
Mazda,Mazda_Miata,Mazda_Miata_90,Driver,d_airbag,2,90,lt
Mazda,Mazda_Mpv,Mazda_Mpv_91,Driver,manual_belts,?,91,van
Mazda,Mazda_Protege,Mazda_Protege_91,Driver,Motorized_belts,4,91,lt
Mazda,Mazda_RX-7,Mazda_RX-7_88,Driver,manual_belts,2,88,comp
Mercedes,Mercedes_190E,Mercedes_190E_90,Driver,d_airbag,4,90,med
Mercury,Mercury_Sable,Mercury_Sable_88,Driver,manual_belts,4,88,med
Mercury,Mercury_Topaz,Mercury_Topaz_87,Driver,d_airbag,4,87,comp
Mercury,Mercury_Tracer,Mercury_Tracer_89,Driver,manual_belts,4,89,lt
Mitsubishi,Mitsubishi_Eclipse,Mitsubishi_Eclipse_90,Driver,Motorized_belts,2,90,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_89,Driver,manual_belts,4,89,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_91,Driver,Motorized_belts,4,91,comp
Mitsubishi,Mitsubishi_Mirage,Mitsubishi_Mirage_89,Driver,Motorized_belts,4,89,lt
Mitsubishi,Mitsubishi_Montero_4x4,Mitsubishi_Montero_4x4_88,Driver,manual_belts,2,88,mpv
Mitsubishi,Mitsubishi_Starion,Mitsubishi_Starion_87,Driver,passive_belts,2,87,med
Mitsubishi,Mitsubishi_Wagon,Mitsubishi_Wagon_89,Driver,manual_belts,?,89,van
Nissan,Nissan_240sx,Nissan_240sx_89,Driver,Motorized_belts,2,89,comp
Nissan,Nissan_200sx,Nissan_200sx_87,Driver,manual_belts,2,87,comp
Nissan,Nissan_300zx,Nissan_300zx_91,Driver,d_airbag,2,91,med
Nissan,Nissan_Axxess,Nissan_Axxess_90,Driver,passive_belts,?,90,van
Nissan,Nissan_Maxima,Nissan_Maxima_89,Driver,Motorized_belts,4,89,med
Nissan,Nissan_Maxima_SE,Nissan_Maxima_SE_88,Driver,passive_belts,4,88,med
Nissan,Nissan_NL_Xev_Pickup,Nissan_NL_Xev_Pickup_88,Driver,manual_belts,?,88,pu
Nissan,Nissan_Pickup,Nissan_Pickup_87,Driver,manual_belts,?,87,pu
Nissan,Nissan_Pickup,Nissan_Pickup_89,Driver,manual_belts,?,89,pu
Nissan,Nissan_Pulsar_Nx,Nissan_Pulsar_Nx_88,Driver,manual_belts,2,88,lt
Nissan,Nissan_Sentra,Nissan_Sentra_87,Driver,manual_belts,4,87,lt
Nissan,Nissan_Sentra,Nissan_Sentra_88,Driver,manual_belts,4,88,lt
Nissan,Nissan_Sentra,Nissan_Sentra_91,Driver,Motorized_belts,2,91,lt
Nissan,Nissan_Stanza,Nissan_Stanza_90,Driver,Motorized_belts,4,90,comp
Nissan,Nissan_Stanza,Nissan_Stanza_91,Driver,Motorized_belts,4,91,comp
Nissan,Nissan_Van_Xe,Nissan_Van_Xe_88,Driver,manual_belts,?,88,van
Oldsmobile,Oldsmobile_Calais,Oldsmobile_Calais_87,Driver,passive_belts,4,87,comp
Oldsmobile,Oldsmobile_Delta_88,Oldsmobile_Delta_88_88,Driver,d_airbag,4,88,med
Peugeot,Peugeot_505S,Peugeot_505S_89,Driver,Motorized_belts,4,89,med
Peugeot,Peugeot_505,Peugeot_505_87,Driver,manual_belts,4,87,comp
Peugeot,Peugeot_505_GLS,Peugeot_505_GLS_88,Driver,passive_belts,4,88,med
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_89,Driver,manual_belts,4,89,comp
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_91,Driver,d_airbag,4,91,comp
Plymouth,Plymouth_Sundance,Plymouth_Sundance_87,Driver,manual_belts,4,87,comp
Plymouth,Plymouth_Voyager,Plymouth_Voyager_87,Driver,manual_belts,?,87,van
Pontiac,Pontiac_Grand_Am,Pontiac_Grand_Am_87,Driver,passive_belts,2,87,comp
Pontiac,Pontiac_Le_Mans,Pontiac_Le_Mans_88,Driver,manual_belts,2,88,lt
Pontiac,Pontiac_Sunbird,Pontiac_Sunbird_87,Driver,manual_belts,4,87,lt
Pontiac,Pontiac_Trans_Sport,Pontiac_Trans_Sport_90,Driver,manual_belts,?,90,van
Renault,Renault_Medallion,Renault_Medallion_88,Driver,manual_belts,4,88,comp
Saab,Saab_900S,Saab_900S_88,Driver,passive_belts,2,88,comp
Saab,Saab_9000,Saab_9000_87,Driver,manual_belts,4,87,comp
Saturn,Saturn_SL2,Saturn_SL2_91,Driver,Motorized_belts,4,91,lt
Subaru,Subaru_GL,Subaru_GL_87,Driver,manual_belts,4,87,lt
Subaru,Subaru_Justy_DL,Subaru_Justy_DL_87,Driver,manual_belts,2,87,mini
Subaru,Subaru_Legacy,Subaru_Legacy_90,Driver,Motorized_belts,4,90,comp
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_89,Driver,manual_belts,2,89,mpv
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_91,Driver,manual_belts,2,91,mpv
Toyota,Toyota_4-Runner_4x4,Toyota_4-Runner_4x4_90,Driver,manual_belts,4,90,mpv
Toyota,Toyota_Camry,Toyota_Camry_87,Driver,passive_belts,4,87,comp
Toyota,Toyota_Celica,Toyota_Celica_90,Driver,d_airbag,2,90,lt
Toyota,Toyota_Corolla_Fx,Toyota_Corolla_Fx_88,Driver,manual_belts,2,88,lt
Toyota,Toyota_Corolla,Toyota_Corolla_89,Driver,manual_belts,4,89,lt
Toyota,Toyota_Corolla,Toyota_Corolla_91,Driver,passive_belts,4,91,lt
Toyota,Toyota_Cressida,Toyota_Cressida_89,Driver,Motorized_belts,4,89,med
Toyota,Toyota_Pickup,Toyota_Pickup_87,Driver,manual_belts,?,87,pu
Toyota,Toyota_Pickup,Toyota_Pickup_89,Driver,manual_belts,?,89,pu
Toyota,Toyota_Pickup_4x4,Toyota_Pickup_4x4_91,Driver,manual_belts,?,91,pu
Toyota,Toyota_Previa,Toyota_Previa_91,Driver,manual_belts,?,91,van
Toyota,Toyota_Tercel,Toyota_Tercel_88,Driver,manual_belts,2,88,lt
Toyota,Toyota_Tercel,Toyota_Tercel_91,Driver,passive_belts,4,91,lt
Toyota,Toyota_Van,Toyota_Van_89,Driver,manual_belts,?,89,van
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_87,Driver,manual_belts,2,87,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_88,Driver,manual_belts,2,88,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_89,Driver,manual_belts,2,89,lt
Volkswagen,Volkswagen_Passat,Volkswagen_Passat_90,Driver,Motorized_belts,4,90,comp
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,Driver,manual_belts,?,88,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,Driver,d_airbag,4,88,med
Yugo,Yugo_GV,Yugo_GV_87,Driver,manual_belts,2,87,mini
Acura,Acura_Integra,Acura_Integra_87,Passenger,manual_belts,2,87,lt
Acura,Acura_Integra_RS,Acura_Integra_RS_90,Passenger,Motorized_belts,4,90,lt
Acura,Acura_Legend_LS,Acura_Legend_LS_88,Passenger,d_airbag,4,88,med
Audi,Audi_80,Audi_80_89,Passenger,manual_belts,4,89,comp
Audi,Audi_100,Audi_100_89,Passenger,d_airbag,4,89,med
BMW,BMW_325i,BMW_325i_90,Passenger,d_airbag,2,90,comp
Buick,Buick_Century,Buick_Century_91,Passenger,passive_belts,4,91,comp
Buick,Buick_Elect._Park_Ave,Buick_Elect._Park_Ave_88,Passenger,manual_belts,4,88,med
Buick,Buick_Le_Sabre,Buick_Le_Sabre_90,Passenger,passive_belts,2,90,med
Buick,Buick_Regal,Buick_Regal_88,Passenger,passive_belts,2,88,med
Cadillac,Cadillac_De_Ville,Cadillac_De_Ville_90,Passenger,d_airbag,4,90,hev
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_88,Passenger,manual_belts,?,88,van
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_89,Passenger,manual_belts,?,89,van
Chevrolet,Chevrolet_Beretta,Chevrolet_Beretta_91,Passenger,d_airbag,2,91,comp
Chevrolet,Chevrolet_Beretta_GT,Chevrolet_Beretta_GT_88,Passenger,passive_belts,2,88,comp
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_87,Passenger,manual_belts,2,87,med
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_91,Passenger,d_airbag,2,91,med
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_89,Passenger,manual_belts,4,89,hev
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_91,Passenger,d_airbag,4,91,hev
Chevrolet,Chevrolet_Cavalier,Chevrolet_Cavalier_90,Passenger,passive_belts,4,90,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_88,Passenger,manual_belts,4,88,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_91,Passenger,d_airbag,4,91,comp
Chevrolet,Chevrolet_C-1500,Chevrolet_C-1500_88,Passenger,manual_belts,?,88,pu
Chevrolet,Chevrolet_G-20_Beauville,Chevrolet_G-20_Beauville_87,Passenger,manual_belts,?,87,van
Chevrolet,Chevrolet_G-20,Chevrolet_G-20_88,Passenger,manual_belts,?,88,van
Chevrolet,Chevrolet_Lumina,Chevrolet_Lumina_90,Passenger,passive_belts,4,90,med
Chevrolet,Chevrolet_Suburban,Chevrolet_Suburban_87,Passenger,manual_belts,4,87,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_89,Passenger,manual_belts,2,89,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_90,Passenger,manual_belts,2,90,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_91,Passenger,manual_belts,4,91,mpv
Chevrolet,Chevrolet_S-10_Pickup,Chevrolet_S-10_Pickup_87,Passenger,manual_belts,?,87,pu
Chevrolet,Chevrolet_S-10_Pickup_4x4,Chevrolet_S-10_Pickup_4x4_90,Passenger,manual_belts,?,90,pu
Chrysler,Chrysler_Fifth_Ave,Chrysler_Fifth_Ave_89,Passenger,d_airbag,4,89,hev
Chrysler,Chrysler_Imperial,Chrysler_Imperial_90,Passenger,d_airbag,4,90,hev
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_87,Passenger,passive_belts,2,87,comp
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_90,Passenger,d_airbag,2,90,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_88,Passenger,manual_belts,4,88,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_91,Passenger,d_airbag,4,91,med
Daihatsu,Daihatsu_Charade,Daihatsu_Charade_88,Passenger,manual_belts,2,88,mini
Dodge,Dodge_colt,Dodge_colt_88,Passenger,manual_belts,4,88,lt
Dodge,Dodge_D-150,Dodge_D-150_88,Passenger,manual_belts,?,88,pu
Dodge,Dodge_Dakota,Dodge_Dakota_87,Passenger,manual_belts,?,87,pu
Dodge,Dodge_Dakota_4x4,Dodge_Dakota_4x4_90,Passenger,manual_belts,?,90,pu
Dodge,Dodge_Daytona,Dodge_Daytona_89,Passenger,d_airbag,2,89,comp
Dodge,Dodge_Shadow,Dodge_Shadow_87,Passenger,manual_belts,2,87,comp
Dodge,Dodge_Shadow,Dodge_Shadow_91,Passenger,d_airbag,4,91,comp
Dodge,Dodge_Spirit,Dodge_Spirit_89,Passenger,manual_belts,4,89,comp
Eagle,Eagle_Medallion,Eagle_Medallion_89,Passenger,Motorized_belts,4,89,comp
Eagle,Eagle_Premier,Eagle_Premier_89,Passenger,manual_belts,4,89,med
Ford,Ford_Aerostar,Ford_Aerostar_87,Passenger,manual_belts,?,87,van
Ford,Ford_Bronco_II_4x4,Ford_Bronco_II_4x4_89,Passenger,manual_belts,2,89,mpv
Ford,Ford_Club_Wagon,Ford_Club_Wagon_90,Passenger,manual_belts,?,90,van
Ford,Ford_Escort,Ford_Escort_87,Passenger,passive_belts,2,87,lt
Ford,Ford_Escort,Ford_Escort_91,Passenger,Motorized_belts,2,91,lt
Ford,Ford_Explorer_4x4,Ford_Explorer_4x4_91,Passenger,manual_belts,4,91,mpv
Ford,Ford_F-150,Ford_F-150_88,Passenger,manual_belts,?,88,pu
Ford,Ford_Festiva,Ford_Festiva_88,Passenger,manual_belts,2,88,mini
Ford,Ford_Mustang_LX,Ford_Mustang_LX_87,Passenger,manual_belts,2,87,comp
Ford,Ford_Mustang,Ford_Mustang_90,Passenger,d_airbag,2,90,med
Ford,Ford_Probe,Ford_Probe_89,Passenger,manual_belts,2,89,comp
Ford,Ford_Probe,Ford_Probe_91,Passenger,Motorized_belts,2,91,comp
Ford,Ford_Ranger,Ford_Ranger_87,Passenger,manual_belts,?,87,pu
Ford,Ford_Ranger_4x4,Ford_Ranger_4x4_90,Passenger,manual_belts,?,90,pu
Ford,Ford_Taurus,Ford_Taurus_88,Passenger,manual_belts,4,88,med
Ford,Ford_Taurus,Ford_Taurus_90,Passenger,d_airbag,4,90,med
Ford,Ford_Taurus,Ford_Taurus_91,Passenger,d_airbag,4,91,med
Ford,Ford_Tempo,Ford_Tempo_88,Passenger,passive_belts,4,88,comp
Ford,Ford_T-Bird,Ford_T-Bird_89,Passenger,Motorized_belts,2,89,hev
Geo,Geo_Metro,Geo_Metro_89,Passenger,manual_belts,2,89,mini
Geo,Geo_Metro,Geo_Metro_89,Passenger,manual_belts,4,89,mini
Geo,Geo_Prizm,Geo_Prizm_90,Passenger,manual_belts,4,90,lt
Geo,Geo_Storm,Geo_Storm_91,Passenger,d_airbag,2,91,lt
Honda,Honda_Accord,Honda_Accord_87,Passenger,passive_belts,2,87,lt
Honda,Honda_Accord_Dx,Honda_Accord_Dx_91,Passenger,Motorized_belts,4,91,comp
Honda,Honda_Accord_Lx,Honda_Accord_Lx_91,Passenger,d_airbag,4,91,med
Honda,Honda_Civic,Honda_Civic_91,Passenger,Motorized_belts,4,91,lt
Honda,Honda_Civic_Crx,Honda_Civic_Crx_89,Passenger,manual_belts,2,89,mini
Honda,Honda_Civic_Dx,Honda_Civic_Dx_88,Passenger,manual_belts,2,88,lt
Honda,Honda_Prelude,Honda_Prelude_90,Passenger,passive_belts,2,90,comp
Hyundai,Hyundai_Excel,Hyundai_Excel_87,Passenger,passive_belts,4,87,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_87,Passenger,manual_belts,2,87,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_90,Passenger,Motorized_belts,2,90,lt
Hyundai,Hyundai_Scoupe,Hyundai_Scoupe_91,Passenger,passive_belts,2,91,lt
Hyundai,Hyundai_Sonata,Hyundai_Sonata_89,Passenger,manual_belts,4,89,comp
Infiniti,Infiniti_M-30,Infiniti_M-30_90,Passenger,d_airbag,2,90,med
Isuzu,Isuzu_Amigo,Isuzu_Amigo_90,Passenger,manual_belts,2,90,mpv
Isuzu,Isuzu_I-Mark,Isuzu_I-Mark_87,Passenger,manual_belts,4,87,lt
Isuzu,Isuzu_Rodeo,Isuzu_Rodeo_91,Passenger,manual_belts,4,91,mpv
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_87,Passenger,manual_belts,?,87,pu
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_88,Passenger,manual_belts,?,88,pu
Isuzu,Isuzu_Stylus,Isuzu_Stylus_91,Passenger,d_airbag,4,91,lt
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_89,Passenger,manual_belts,4,89,mpv
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_90,Passenger,manual_belts,4,90,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_89,Passenger,manual_belts,4,89,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_90,Passenger,manual_belts,4,90,mpv
Jeep,Jeep_Comanche,Jeep_Comanche_87,Passenger,manual_belts,?,87,pu
Jeep,Jeep_Wrangler_YJ_4x4,Jeep_Wrangler_YJ_4x4_87,Passenger,manual_belts,2,87,mpv
Lexus,Lexus_ES250,Lexus_ES250_90,Passenger,d_airbag,4,90,med
Lincoln,Lincoln_Continental,Lincoln_Continental_89,Passenger,d&p_airbags,4,89,hev
Lincoln,Lincoln_Town_Car,Lincoln_Town_Car_90,Passenger,d&p_airbags,4,90,hev
Mazda,Mazda_626,Mazda_626_87,Passenger,passive_belts,4,87,comp
Mazda,Mazda_929,Mazda_929_88,Passenger,manual_belts,4,88,med
Mazda,Mazda_Miata,Mazda_Miata_90,Passenger,d_airbag,2,90,lt
Mazda,Mazda_Mpv,Mazda_Mpv_91,Passenger,manual_belts,?,91,van
Mazda,Mazda_Protege,Mazda_Protege_91,Passenger,Motorized_belts,4,91,lt
Mazda,Mazda_RX-7,Mazda_RX-7_88,Passenger,manual_belts,2,88,comp
Mercedes,Mercedes_190E,Mercedes_190E_90,Passenger,d_airbag,4,90,med
Mercury,Mercury_Sable,Mercury_Sable_88,Passenger,manual_belts,4,88,med
Mercury,Mercury_Topaz,Mercury_Topaz_87,Passenger,d_airbag,4,87,comp
Mercury,Mercury_Tracer,Mercury_Tracer_89,Passenger,manual_belts,4,89,lt
Mitsubishi,Mitsubishi_Eclipse,Mitsubishi_Eclipse_90,Passenger,Motorized_belts,2,90,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_89,Passenger,manual_belts,4,89,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_91,Passenger,Motorized_belts,4,91,comp
Mitsubishi,Mitsubishi_Mirage,Mitsubishi_Mirage_89,Passenger,Motorized_belts,4,89,lt
Mitsubishi,Mitsubishi_Montero_4x4,Mitsubishi_Montero_4x4_88,Passenger,manual_belts,2,88,mpv
Mitsubishi,Mitsubishi_Starion,Mitsubishi_Starion_87,Passenger,passive_belts,2,87,med
Mitsubishi,Mitsubishi_Wagon,Mitsubishi_Wagon_89,Passenger,manual_belts,?,89,van
Nissan,Nissan_240sx,Nissan_240sx_89,Passenger,Motorized_belts,2,89,comp
